ComplexName,AmenityID,AmenityName
Tides at Park43,34,Microwave
Breckinridge Point,1,Dog & Cat Friendly
Breckinridge Point,2,Fitness Center
Breckinridge Point,3,Pool
Breckinridge Point,14,Dishwasher
Breckinridge Point,15,Refrigerator
Breckinridge Point,16,Kitchen
Breckinridge Point,9,In Unit Washer & Dryer
Breckinridge Point,10,Walk-In Closets
Tides on Rosemeade West,1,Dog & Cat Friendly
Tides on Rosemeade West,14,Dishwasher
Tides on Rosemeade West,15,Refrigerator
Tides on Rosemeade West,16,Kitchen
Tides on Rosemeade West,9,In Unit Washer & Dryer
Tides on Rosemeade West,10,Walk-In Closets
Tides on Rosemeade West,19,Clubhouse
Tides on Rosemeade West,25,Range
Tides on Haverwood,1,Dog & Cat Friendly
Tides on Haverwood,2,Fitness Center
Tides on Haverwood,14,Dishwasher
Tides on Haverwood,15,Refrigerator
Tides on Haverwood,9,In Unit Washer & Dryer
Tides on Haverwood,19,Clubhouse
Tides on Haverwood,34,Microwave
Tides on Haverwood,38,CableReady
Cool Springs at Frisco Bridges,1,Dog & Cat Friendly
Cool Springs at Frisco Bridges,2,Fitness Center
Cool Springs at Frisco Bridges,3,Pool
Cool Springs at Frisco Bridges,14,Dishwasher
Cool Springs at Frisco Bridges,15,Refrigerator
Cool Springs at Frisco Bridges,16,Kitchen
Cool Springs at Frisco Bridges,9,In Unit Washer & Dryer
Cool Springs at Frisco Bridges,10,Walk-In Closets
Sutton Place,1,Dog & Cat Friendly
Sutton Place,2,Fitness Center
Sutton Place,3,Pool
Sutton Place,14,Dishwasher
Sutton Place,15,Refrigerator
Sutton Place,16,Kitchen
Sutton Place,9,In Unit Washer & Dryer
Sutton Place,10,Walk-In Closets
The Edge,1,Dog & Cat Friendly
The Edge,2,Fitness Center
The Edge,3,Pool
The Edge,14,Dishwasher
The Edge,15,Refrigerator
The Edge,16,Kitchen
The Edge,9,In Unit Washer & Dryer
The Edge,10,Walk-In Closets
Tides on Rosemeade East,1,Dog & Cat Friendly
Tides on Rosemeade East,3,Pool
Tides on Rosemeade East,14,Dishwasher
Tides on Rosemeade East,15,Refrigerator
Tides on Rosemeade East,23,Maintenance on site
Tides on Rosemeade East,34,Microwave
Tides on Rosemeade East,38,CableReady
Tides on Rosemeade East,31,High-Speed Internet
Tides on McCallum North,1,Dog & Cat Friendly
Tides on McCallum North,3,Pool
Tides on McCallum North,14,Dishwasher
Tides on McCallum North,15,Refrigerator
Tides on McCallum North,9,In Unit Washer & Dryer
Tides on McCallum North,19,Clubhouse
Tides on McCallum North,34,Microwave
Tides on McCallum North,38,CableReady
The Residences of North Dallas,1,Dog & Cat Friendly
The Residences of North Dallas,2,Fitness Center
The Residences of North Dallas,3,Pool
The Residences of North Dallas,14,Dishwasher
The Residences of North Dallas,15,Refrigerator
The Residences of North Dallas,16,Kitchen
The Residences of North Dallas,9,In Unit Washer & Dryer
The Residences of North Dallas,10,Walk-In Closets
Tides on McCallum South,1,Dog & Cat Friendly
Tides on McCallum South,3,Pool
Tides on McCallum South,14,Dishwasher
Tides on McCallum South,15,Refrigerator
Tides on McCallum South,9,In Unit Washer & Dryer
Tides on McCallum South,19,Clubhouse
Tides on McCallum South,34,Microwave
Tides on McCallum South,38,CableReady
The Flatiron District at Austin Ranch,1,Dog & Cat Friendly
The Flatiron District at Austin Ranch,2,Fitness Center
The Flatiron District at Austin Ranch,3,Pool
The Flatiron District at Austin Ranch,14,Dishwasher
The Flatiron District at Austin Ranch,15,Refrigerator
The Flatiron District at Austin Ranch,16,Kitchen
The Flatiron District at Austin Ranch,9,In Unit Washer & Dryer
The Flatiron District at Austin Ranch,10,Walk-In Closets
